search_region_id,daangn_region_id,region_name
722,722,평리3동
723,723,평리4동
724,724,평리5동
725,725,평리6동
726,726,상중이동
727,727,원대동
728,5563,대명동
729,729,이천동
730,730,봉덕1동
731,731,봉덕2동
732,732,봉덕3동
733,733,대명1동
734,734,대명2동
735,735,대명3동
736,736,대명4동
737,737,대명5동
738,738,대명6동
739,739,대명9동
740,740,대명10동
741,741,대명11동
742,763,동천동
743,743,고성동
744,744,칠성동
745,745,침산1동
746,746,침산2동
747,747,침산3동
748,748,산격1동
749,749,산격2동
750,750,산격3동
751,751,산격4동
752,752,대현동
753,753,복현1동
754,754,복현2동
755,755,검단동
756,756,무태조야동
757,757,관문동
758,758,태전1동
759,759,태전2동
760,760,구암동
761,761,관음동
762,762,읍내동
763,763,동천동
764,764,노원동
765,765,국우동
766,5663,범어동
767,767,범어1동
768,768,범어2동
769,769,범어3동
770,770,범어4동
771,771,만촌1동
772,772,만촌2동
773,773,만촌3동
774,774,수성1가동
775,775,수성2.3가동
776,776,수성4가동
777,777,황금1동
778,778,황금2동
779,779,중동
780,780,상동
781,781,파동
782,782,두산동
783,783,지산1동
784,784,지산2동
785,785,범물1동
786,786,범물2동
787,787,고산1동
788,788,고산2동
789,789,고산3동
790,5572,월성동
791,791,성당동
792,792,두류1.2동
793,793,두류3동
794,794,감삼동
795,795,죽전동
796,796,장기동
797,797,용산1동
798,798,용산2동
799,799,이곡1동
800,800,이곡2동
